ExT,a,i,k,t 
3685,6,2,1,1 
3685,6,2,1,2 
3685,6,2,1,3 
3685,6,2,1,4 
3685,6,2,1,5 
3685,6,2,1,6 
3685,6,2,1,7 
3685,6,2,1,8 
3685,6,2,1,9 
3685,6,2,1,10 
3685,6,2,1,11 
3685,6,2,1,12 
3685,6,2,1,13 
3685,6,2,1,14 
3685,6,2,1,15 
3685,6,2,1,16 
3685,6,2,1,17 
3685,6,2,1,18 
3685,6,2,1,19 
3685,6,2,1,20 
3685,6,2,1,21 
3685,6,2,1,22 
3685,6,2,1,23 
3685,6,2,1,24 
3685,6,2,1,25 
3685,6,2,1,26 
3685,6,2,1,27 
3685,6,2,1,28 
3685,6,2,1,29 
3685,6,2,1,30 
3685,6,2,1,31 
3685,6,2,1,32 
3685,6,2,1,33 
3685,6,2,1,34 
3685,6,2,1,35 
3685,6,2,1,36 
3685,6,2,1,37 
3685,6,2,1,38 
3685,6,2,1,39 
3685,6,2,1,40 
3685,6,2,1,41 
3685,6,2,1,42 
3685,6,2,1,43 
3685,6,2,1,44 
3685,6,2,1,45 
3685,6,2,1,46 
3685,6,2,1,47 
3685,6,2,1,48 
3685,6,2,1,49 
3685,6,2,1,50 
3685,6,2,1,51 
3685,6,2,1,52 
4329,7,2,1,1 
4329,7,2,1,2 
4329,7,2,1,3 
4329,7,2,1,4 
4329,7,2,1,5 
4329,7,2,1,6 
4329,7,2,1,7 
4329,7,2,1,8 
4329,7,2,1,9 
4329,7,2,1,10 
4329,7,2,1,11 
4329,7,2,1,12 
4329,7,2,1,13 
4329,7,2,1,14 
4329,7,2,1,15 
4329,7,2,1,16 
4329,7,2,1,17 
4329,7,2,1,18 
4329,7,2,1,19 
4329,7,2,1,20 
4329,7,2,1,21 
4329,7,2,1,22 
4329,7,2,1,23 
4329,7,2,1,24 
4329,7,2,1,25 
4329,7,2,1,26 
4329,7,2,1,27 
4329,7,2,1,28 
4329,7,2,1,29 
4329,7,2,1,30 
4329,7,2,1,31 
4329,7,2,1,32 
4329,7,2,1,33 
4329,7,2,1,34 
4329,7,2,1,35 
4329,7,2,1,36 
4329,7,2,1,37 
4329,7,2,1,38 
4329,7,2,1,39 
4329,7,2,1,40 
4329,7,2,1,41 
4329,7,2,1,42 
4329,7,2,1,43 
4329,7,2,1,44 
4329,7,2,1,45 
4329,7,2,1,46 
4329,7,2,1,47 
4329,7,2,1,48 
4329,7,2,1,49 
4329,7,2,1,50 
4329,7,2,1,51 
4329,7,2,1,52 
18791,8,2,1,1 
18791,8,2,1,2 
18791,8,2,1,3 
18791,8,2,1,4 
18791,8,2,1,5 
18791,8,2,1,6 
18791,8,2,1,7 
18791,8,2,1,8 
18791,8,2,1,9 
18791,8,2,1,10 
18791,8,2,1,11 
18791,8,2,1,12 
18791,8,2,1,13 
18791,8,2,1,14 
18791,8,2,1,15 
18791,8,2,1,16 
18791,8,2,1,17 
18791,8,2,1,18 
18791,8,2,1,19 
18791,8,2,1,20 
18791,8,2,1,21 
